,Country code,Latest GINI,Renewable energy percentage
0,ABW,,
1,AFE,,
2,AFG,,
3,AFW,,
4,AGO,51.3,49.5272
5,ALB,33.2,31.7737
6,AND,,
7,ARB,,
8,ARE,26.0,0.7774897
9,ARG,42.9,8.491999
10,ARM,29.9,8.807516
11,ASM,,
12,ATG,,
13,AUS,34.4,8.46729
14,AUT,30.8,32.38082
15,AZE,26.6,1.423195
16,BDI,38.6,
17,BEL,27.2,9.408979
18,BEN,47.8,53.42597
19,BFA,35.3,
20,BGD,32.4,18.32231
21,BGR,41.3,12.90554
22,BHR,,0.0
23,BHS,,
24,BIH,33.0,24.89895
25,BLR,25.3,6.708441
26,BLZ,53.3,
27,BMU,,
28,BOL,41.6,10.03349
29,BRA,53.4,47.84661
30,BRB,,
31,BRN,,0.003253752
32,BTN,37.4,
33,BWA,53.3,18.86455
34,CAF,56.2,
35,CAN,33.3,17.25609
36,CEB,,
37,CHE,33.1,23.83334
38,CHI,,
39,CHL,44.4,29.74923
40,CHN,38.5,9.673476
41,CIV,41.5,62.68168
42,CMR,46.6,75.69912
43,COD,42.1,97.51147
44,COG,48.9,52.2594
45,COL,51.3,25.01842
46,COM,45.3,
47,CPV,42.4,
48,CRI,48.2,50.45916
49,CSS,,
50,CUB,,17.25282
51,CUW,,
52,CYM,,
53,CYP,32.7,8.700669
54,CZE,25.0,12.11895
55,DEU,31.9,16.38337
56,DJI,41.6,
57,DMA,,
58,DNK,28.2,39.03011
59,DOM,41.9,10.97671
60,DZA,27.6,0.1301328
61,EAP,,
62,EAR,,
63,EAS,,
64,ECA,,
65,ECS,,
66,ECU,45.7,17.52407
67,EGY,31.5,5.136552
68,EMU,,
69,ERI,,72.00795
70,ESP,34.7,16.9621
71,EST,30.3,39.3016
72,ETH,35.0,89.55241
73,EUU,,
74,FCS,,
75,FIN,27.3,36.62712
76,FJI,36.7,
77,FRA,32.4,11.81464
78,FRO,,
79,FSM,40.1,
80,GAB,38.0,80.8343
81,GBR,35.1,13.91001
82,GEO,35.9,20.42778
83,GHA,43.5,40.83525
84,GIB,,
85,GIN,33.7,
86,GMB,35.9,
87,GNB,50.7,
88,GNQ,,6.05791
89,GRC,32.9,15.34319
90,GRD,,
91,GRL,,
92,GTM,48.3,62.07571
93,GUM,,
94,GUY,45.1,
95,HIC,,
96,HKG,,
97,HND,48.2,47.53609
98,HPC,,
99,HRV,29.7,24.7228
100,HTI,41.1,77.59056
101,HUN,29.6,11.27034
102,IBD,,
103,IBT,,
104,IDA,,
105,IDB,,
106,IDN,38.2,23.87954
107,IDX,,
108,IMN,,
109,IND,35.7,23.13485
110,INX,,
111,IRL,31.4,13.12002
112,IRN,42.0,0.7174105
113,IRQ,29.5,0.3786544
114,ISL,26.1,89.87399
115,ISR,39.0,3.689166
116,ITA,35.9,19.42268
117,JAM,45.5,8.000472
118,JOR,33.7,6.188914
119,JPN,32.9,6.773438
120,KAZ,27.8,1.464465
121,KEN,40.8,78.19263
122,KGZ,29.7,29.6807
123,KHM,,47.85085
124,KIR,37.0,
125,KNA,,
126,KOR,31.4,2.250828
127,KWT,,0.07089603
128,LAC,,
129,LAO,38.8,58.43959
130,LBN,31.8,3.54603
131,LBR,35.3,
132,LBY,,2.751644
133,LCA,51.2,
134,LCN,,
135,LDC,,
136,LIC,,
137,LIE,,
138,LKA,39.3,43.11338
139,LMC,,
140,LMY,,
141,LSO,44.9,
142,LTE,,
143,LTU,35.7,21.82594
144,LUX,35.4,10.708
145,LVA,35.1,42.67778
146,MAC,,
147,MAF,,
148,MAR,39.5,9.422457
149,MCO,,
150,MDA,25.7,16.9873
151,MDG,42.6,
152,MDV,31.3,
153,MEA,,
154,MEX,45.4,9.628024
155,MHL,,
156,MIC,,
157,MKD,33.0,11.43127
158,MLI,33.0,
159,MLT,28.7,5.180963
160,MMR,30.7,49.75706
161,MNA,,
162,MNE,38.5,28.70125
163,MNG,32.7,2.98457
164,MNP,,
165,MOZ,54.0,80.08387
166,MRT,32.6,
167,MUS,36.8,14.06002
168,MWI,44.7,
169,MYS,41.1,3.496448
170,NAC,,
171,NAM,59.1,23.2392
172,NCL,,
173,NER,34.3,75.9369
174,NGA,35.1,75.11013
175,NIC,46.2,57.39995
176,NLD,28.1,9.18866
177,NOR,27.6,51.1092
178,NPL,32.8,
179,NRU,34.8,
180,NZL,,40.04115
181,OED,,
182,OMN,,0.001437531
183,OSS,,
184,PAK,31.6,35.68252
185,PAN,49.8,17.17112
186,PER,41.5,24.45862
187,PHL,42.3,34.00914
188,PLW,,
189,PNG,41.9,
190,POL,30.2,10.1256
191,PRE,,
192,PRI,,
193,PRK,,
194,PRT,33.5,28.2431
195,PRY,45.7,101.4959
196,PSE,33.7,
197,PSS,,
198,PST,,
199,PYF,,
200,QAT,,0.01923134
201,ROU,35.8,18.25547
202,RUS,37.5,2.887775
203,RWA,43.7,
204,SAS,,
205,SAU,,0.02095274
206,SDN,34.2,65.26933
207,SEN,40.3,36.87059
208,SGP,,1.190471
209,SLB,37.1,
210,SLE,35.7,
211,SLV,38.8,42.92729
212,SMR,,
213,SOM,36.8,
214,SRB,36.2,13.33234
215,SSA,,
216,SSD,44.1,
217,SSF,,
218,SST,,
219,STP,56.3,
220,SUR,57.9,
221,SVK,25.0,12.78883
222,SVN,24.6,18.50654
223,SWE,30.0,44.91779
224,SWZ,54.6,
225,SXM,,
226,SYC,32.1,
227,SYR,37.5,0.7780287
228,TCA,,
229,TCD,43.3,
230,TEA,,
231,TEC,,
232,TGO,43.1,83.14881
233,THA,34.9,20.65935
234,TJK,34.0,42.69888
235,TKM,40.8,0.03560736
236,TLA,,
237,TLS,28.7,
238,TMN,,
239,TON,37.6,
240,TSA,,
241,TSS,,
242,TTO,40.3,0.07811184
243,TUN,32.8,10.88966
244,TUR,41.9,16.24106
245,TUV,39.1,
246,TZA,40.5,83.57964
247,UGA,42.8,
248,UKR,26.6,4.850639
249,UMC,,
250,URY,39.7,58.6464
251,USA,41.4,8.495673
252,UZB,35.3,1.189205
253,VCT,,
254,VEN,44.8,13.9286
255,VGB,,
256,VIR,,
257,VNM,35.7,15.81661
258,VUT,37.6,
259,WLD,,13.76586
260,WSM,38.7,
261,XKX,29.0,
262,YEM,36.7,4.117102
263,ZAF,63.0,6.586925
264,ZMB,57.1,83.36249
265,ZWE,50.3,71.39626
