Year,Marine,Geothermal,Bioenergy-Renewable Municipal Waste,Bioenergy-Liquid Biofuels,Bioenergy-Biogas,Bioenergy-Solid Biofuels,Solar-Thermal,Solar-Photovoltaic,Wind-Offshore,Wind-Onshore,Hydropower-Renewable Hydropower,Hydropower-Mixed Plants,Pumped Storage
2000,20,3648,1320.5,0,992,7677,419,197,0,2486,156272,0,19699
2001,20,3054,12757.5,0,994,8129,246,237,0,4012,155479,0,19843
2002,20,3095,1253,0,1067,8268,202,281,0,4596,158064,0,20550
2003,20,3093,1226.5,35,1145,8532,388,321,0,6340,158579,0,20699
2004,20,3112,1103.5,65,1115,8816,388,393,0,6918,158925,0,20941
2005,20,3245,1101,67,1236,8652,388,527,0,9401,159970,0,21524
2006,20,3234,1111.5,67,1315,8858,401,736,0,12853,161313,0,21638
2007,20,3174,1126.5,75,1629,9244,465,1022,0,18456,162782,0,22063
2008,20,3192,1125,82,1715,9200,465,1210,0,27089,163647,0,22035
2009,20,3347,1131.5,183,1728,9273,472,1746,0,38004,164556,12308,22337
2010,20,3370,1127.5,183,1793,9518,473,3187,0,43622,156771,12328,18688
2011,20,3296,1136.5,183,1946,9553,472,5839,0,51543,157062,12332,18766
2012,20,3416,1140,204,2257,10074,476,8963,0,67092,157190,12331,18839
2013,20,3430,1152.5,155,2425,11108,1286,13051,0,69897,157633,12339,18860
2014,20,3327,1153.5,155,2547,11666,1667,17934,0,76495,158902,12339,18950
2015,20,3448,1162.5,155,2524,12323,1758,24376,0,87058,162580,12339,19040
2016,20,3443,1162.5,155,2574,12430,1758,36012,29,97281,164088,12378,19201
2017,20,3408.7,1160,165,2724,12452,1758,44963,29,104017,164657,12378,19233
2018,20,3394.6,1154.5,236,2735,12254,1772,55448,29,112178,165304,12374,19253
2019,20,3490.6,1098,123,2641,11615,1772,66821,29,123645,165234,12374,19202
2020,20,3492.4,1098,123,2571,11615,1772,82785,29,139419,165413,12374,19317
